feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmented-packets,-0.010260877325664042,-0.015391315988496194,0.005130438662832155,-0.005130438662832151,0.015391315988496197
network_header-length_std_deviation,-0.01220534190170676,-0.01830801285256047,0.006102670950853478,-0.006102670950853709,0.018308012852560236
network_interval-packets,-0.0029188890778016406,-0.004378333616702462,0.0014594445389008585,-0.0014594445389008218,0.004378333616702499
network_ip-flags_min,-0.00792535152687453,-0.011888027290311713,0.00396267576343739,-0.003962675763437182,0.011888027290311921
network_ip-flags_std_deviation,-0.007740593032755356,-0.011610889549133049,0.003870296516377738,-0.003870296516377693,0.011610889549133094
network_mss_min,-0.00808702532485128,-0.012130537987276693,0.004043512662425633,-0.004043512662425412,0.012130537987276913
network_mss_std_deviation,-0.024523061836794834,-0.03678459275519209,0.012261530918397448,-0.012261530918397254,0.03678459275519228
network_packet-size_min,0.07366114002645294,0.11049171003967896,-0.03683057001322747,0.036830570013226024,-0.1104917100396804
