feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmentation-score,9.574905635414435e-05,0.00013046672878702948,-0.00021569424890006267,3.471767243288513e-05,-0.000311443305254207
network_fragmented-packets,-0.00022954909122249636,-0.000225217948289174,3.802062577600892e-06,4.331142933322374e-06,0.00023335115380009725
network_header-length_avg,-6.083709881514659e-08,-1.5650069616096753e-05,2.5251352295424637e-05,-1.5589232517281605e-05,2.5312189394239784e-05
network_header-length_max,0.00015397118161667288,-3.545575826179881e-05,-3.695619002986576e-05,-0.00018942693987847168,-0.00019092737164653865
network_header-length_min,-1.2332694825235013e-05,8.157213419022818e-05,3.13494132248185e-05,9.39048290154632e-05,4.3682108050053516e-05
network_header-length_std_deviation,0.0002715087889872525,0.00018555423031041087,0.0001368439585304929,-8.595455867684162e-05,-0.0001346648304567596
network_interval-packets,-0.00011727497334264996,-6.071963425391121e-05,5.2673271389622826e-05,5.6555339088738746e-05,0.00016994824473227278
network_ip-flags_avg,-0.00016201143046887313,-6.0549682866687566e-05,2.730380911966804e-06,0.00010146174760218557,0.00016474181138083994
