feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmentation-score,0.0002411514044857945,0.0005044452812419765,-0.00019771005350315956,0.00026329387675618203,-0.0004388614579889541
network_fragmented-packets,-0.00026176835208818056,-0.0001705925492963391,9.147709314402433e-06,9.117580279184145e-05,0.000270916061402583
network_header-length_avg,-5.338374627510959e-05,-3.954551360489649e-05,9.600557379934326e-05,1.3838232670213098e-05,0.00014938932007445285
network_header-length_max,1.4479588794518493e-05,-4.1341203440285874e-05,-1.2290992997754157e-05,-5.582079223480437e-05,-2.6770581792272652e-05
network_header-length_min,-3.753101022750154e-05,-0.00020038733785475066,1.1891421436548122e-06,-0.00016285632762724913,3.872015237115635e-05
network_header-length_std_deviation,0.00011548523999905452,-0.00012588003102787323,-4.6474702479610434e-05,-0.00024136527102692774,-0.00016195994247866495
network_interval-packets,-2.4406451557620217e-05,-0.00010930560928680051,9.598068691803978e-05,-8.489915772918029e-05,0.00012038713847566
network_ip-flags_avg,5.9733268690404255e-06,0.00018260696326900528,5.415263680508485e-05,0.00017663363639996486,4.817930993604443e-05
