feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmentation-score,-0.00011007085650770541,-1.3863074318485252e-05,0.00017394275162035277,9.620778218922016e-05,0.00028401360812805817
network_fragmented-packets,-6.777157564719967e-05,-9.515403730714983e-05,4.0679526938573e-05,-2.7382461659950167e-05,0.00010845110258577266
network_header-length_avg,-0.0014970576711480768,-0.0003236867790251901,-0.00025378307731670164,0.0011733708921228866,0.001243274593831375
network_header-length_max,0.0023713644273653076,0.0011588819669190375,-0.00042039292501797553,-0.00121248246044627,-0.002791757352383283
network_header-length_min,-0.00017781253346317412,-0.0001898122742719656,0.0001340022678218273,-1.1999740808791486e-05,0.00031181480128500145
network_header-length_std_deviation,-0.00030650748683813916,-0.0002515975980436143,0.00017157269396828335,5.490988879452486e-05,0.00047808018080642254
network_interval-packets,-6.039599844084042e-05,-2.5586524372184077e-05,0.00010507066330151205,3.4809474068656345e-05,0.00016546666174235247
network_ip-flags_avg,-0.0001517483053201786,-0.0002591816795804549,4.890809868412853e-05,-0.0001074333742602763,0.00020065640400430712
