feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmentation-score,-0.002041880554678892,-0.011137261821388793,-0.005861591869132252,-0.0090953812667099,-0.0038197113144533596
network_fragmented-packets,0.01325563498861771,0.060148274214689615,-0.006462917165718297,0.046892639226071904,-0.01971855215433601
network_header-length_avg,-0.0005978666912342878,-0.0007457451514046964,-0.0008248050329166635,-0.00014787846017040866,-0.00022693834168237574
network_header-length_max,-0.0006787028108212459,-0.0017430730623325104,0.00012566130143785574,-0.0010643702515112645,0.0008043641122591017
network_header-length_min,-1.4876694661600924e-05,0.013397175971949548,-0.004106377450164286,0.013412052666611149,-0.004091500755502684
network_header-length_std_deviation,-0.0012520979931856498,-0.008862350163180403,0.0009333979106686593,-0.007610252169994753,0.002185495903854309
network_interval-packets,-0.001755711152828171,-0.008724464489786556,-0.0009092595824416614,-0.006968753336958385,0.0008464515703865096
network_ip-flags_avg,-0.0069144990912078635,-0.04233255549854657,0.017105891888266667,-0.03541805640733871,0.024020390979474532
