feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmented-packets,0.08142562913620367,0.012481310202556658,-0.021678904868473316,-0.06894431893364701,-0.10310453400467699
network_header-length_std_deviation,-0.21238830025493888,-0.03255589532432596,0.056546640231685916,0.17983240493061292,0.2689349404866248
network_interval-packets,0.011592415300929809,0.0017769409079510408,-0.0030863853453845444,-0.009815474392978769,-0.014678800646314353
network_ip-flags_min,0.024390042017393233,0.003738622390786341,-0.006493648329676144,-0.020651419626606892,-0.03088369034706938
network_ip-flags_std_deviation,-0.061271273969161925,-0.009391954167596599,0.016312973367706308,0.05187931980156533,0.07758424733686824
network_mss_min,0.03662242674291935,0.005613660875547972,-0.009750420277187451,-0.031008765867371377,-0.0463728470201068
network_mss_std_deviation,-0.001660175456689226,-0.0002544796409364958,0.00044200807746093,0.0014056958157527301,0.002102183534150156
network_packet-size_min,0.12128923648351443,0.01859179475604328,-0.032292262856177006,-0.10269744172747115,-0.15358149933969145
