feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmentation-score,0.04644588475962579,0.04440326309908509,0.008642726190879248,-0.0020426216605407,-0.037803158568746546
network_fragmented-packets,-0.020545796386265195,-0.022098277901884962,0.009065759166536043,-0.001552481515619767,0.02961155555280124
network_header-length_avg,0.004924237132986216,0.006113369845130013,0.001799682065016776,0.001189132712143797,-0.00312455506796944
network_header-length_max,0.0027857023089220122,0.003433456349967638,0.001534323885123343,0.0006477540410456256,-0.0012513784237986692
network_header-length_min,-0.0036216083499566796,-0.0024535711126279875,0.0026096945285921176,0.001168037237328692,0.006231302878548797
network_header-length_std_deviation,0.007978722544592422,0.009780661831053705,0.0038924565798072884,0.0018019392864612824,-0.004086265964785134
network_interval-packets,0.017100693675309503,0.022692173557083636,0.0056802961730472576,0.005591479881774133,-0.011420397502262244
network_ip-flags_avg,-0.05506783568521403,-0.06187107566780704,-0.033224938589002134,-0.0068032399825930165,0.021842897096211893
