feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmentation-score,0.010238681951435796,0.025585249731708174,0.040482765125171266,0.015346567780272378,0.03024408317373547
network_fragmented-packets,-0.017502788175814955,-0.054030603939444276,-0.05123040015074879,-0.03652781576362932,-0.03372761197493383
network_header-length_avg,0.01818694254116945,0.03871151367788576,0.008473311425164293,0.020524571136716307,-0.009713631116005157
network_header-length_max,0.0014843859287281811,0.018968796127426336,0.006025969397105623,0.017484410198698154,0.004541583468377441
network_header-length_min,-0.007136692374806976,-0.01291128810274058,-0.008736019337677831,-0.005774595727933604,-0.001599326962870855
network_header-length_std_deviation,-5.046816035211616e-05,0.004436420999838876,0.014505250954234687,0.0044868891601909915,0.014555719114586804
network_interval-packets,0.007626865852023735,0.011641456385315305,0.022257014193573735,0.004014590533291571,0.014630148341550001
network_ip-flags_avg,-0.012846927562383122,-0.032401544879989495,-0.03177789160682292,-0.019554617317606375,-0.0189309640444398
