feature,TP_SHAP_Dir,FP_SHAP_Dir,FN_SHAP_Dir,FP_minus_TP,FN_minus_TP
network_fragmentation-score,-0.0004231847518862907,-0.005543910409520161,-0.0007112007212728759,-0.0051207256576338706,-0.0002880159693865852
network_fragmented-packets,-0.0013326555549835052,-0.0031865714882769775,0.003147140719433442,-0.0018539159332934723,0.004479796274416947
network_header-length_avg,0.001482898493281163,0.003912768586553655,0.002003371330296581,0.002429870093272492,0.0005204728370154183
network_header-length_max,-0.0006820950066851304,-0.0020232961683318484,2.742042359047559e-05,-0.001341201161646718,0.000709515430275606
network_header-length_min,-0.001413605947876362,-0.0020110153276832908,-0.003295278580325303,-0.0005974093798069287,-0.001881672632448941
network_header-length_std_deviation,-0.0019642307168280288,-0.008694281046980017,-0.004070450193614674,-0.006730050330151989,-0.0021062194767866456
network_interval-packets,0.004197398609236774,0.017907823047276793,0.003100790030724,0.01371042443804002,-0.0010966085785127735
network_ip-flags_avg,0.00013547487574146522,-0.00036151719303638874,-0.00020179300883069046,-0.000496992068777854,-0.0003372678845721557
