feature,importance
network_header-length_avg,0.00020925285169359116
network_fragmentation-score,0.00015225417565247967
network_header-length_min,0.00014702725461491825
network_header-length_max,0.0001330644717843999
network_fragmented-packets,4.6205669190163625e-05
