feature,importance,Modelo,Classe
network_fragmentation-score,0.0038888511686533,random_forest_multi,ddos
network_header-length_avg,0.0029299195531284,random_forest_multi,ddos
network_fragmentation-score,0.0034676807399539,random_forest_multi,dos
network_header-length_avg,0.0005297044827432,random_forest_multi,dos
network_fragmented-packets,0.0003502023053175,random_forest_multi,dos
network_header-length_min,0.0002321028374575,random_forest_multi,dos
network_header-length_max,0.0001564188283961,random_forest_multi,dos
network_fragmented-packets,7.576859848604823e-05,random_forest_multi,malware
network_header-length_avg,7.41838672322264e-05,random_forest_multi,malware
network_fragmentation-score,5.6575683053914814e-05,random_forest_multi,malware
network_header-length_max,4.3846620181450845e-05,random_forest_multi,malware
network_header-length_min,5.876990102304059e-06,random_forest_multi,malware
network_header-length_avg,0.0002092528516935,random_forest_multi,mitm
network_fragmentation-score,0.0001522541756524,random_forest_multi,mitm
network_header-length_min,0.0001470272546149,random_forest_multi,mitm
network_header-length_max,0.0001330644717843,random_forest_multi,mitm
network_fragmented-packets,4.6205669190163625e-05,random_forest_multi,mitm
network_header-length_avg,0.0001254668186226,random_forest_multi,recon
network_header-length_max,9.123305672535374e-05,random_forest_multi,recon
network_header-length_min,4.529499726647477e-05,random_forest_multi,recon
network_fragmented-packets,3.2638626344984106e-05,random_forest_multi,recon
network_fragmentation-score,2.674799129325337e-05,random_forest_multi,recon
network_header-length_max,0.0002737241911986,random_forest_multi,web
network_header-length_min,0.0002379123182376,random_forest_multi,web
network_fragmentation-score,0.0001778171302396,random_forest_multi,web
network_header-length_avg,9.978241234222444e-05,random_forest_multi,web
network_fragmented-packets,5.037172718578561e-05,random_forest_multi,web
